query_id,query_text,status,mrr,hit_at_1,hit_at_3,hit_at_5,hit_at_10,hit_at_20,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,ndcg_at_1,ndcg_at_3,ndcg_at_5,ndcg_at_10,ndcg_at_20,retrieval_time_ms,n_retrieved,n_generation_docs,reranked,question_type,n_expected,primary_metric_type,primary_metric_value,expected_response,generated_response
q_1547,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,failed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.7,20,20,,bridge,2,f1_score,0.0,,
q_2054,When did the park at which Tivolis Koncertsal is located open?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.9197,0.9197,0.9197,0.9197,135.8,20,20,,bridge,2,f1_score,0.0,,
q_478,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,178.3,20,20,,comparison,2,f1_score,0.0,,
q_3245,The school in which the Wilmslow Show is held is designated as what?,failed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.4,20,20,,bridge,2,f1_score,0.0,,
q_1119,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,176.4,20,20,,bridge,2,f1_score,0.0,,
q_3575,"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",failed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.3869,0.3869,0.3869,0.3869,180.0,20,20,,bridge,2,f1_score,0.0,,
q_978,"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark",failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.6131,0.6131,0.6131,0.7575,353.0,20,20,,bridge,2,f1_score,0.0,,
q_1668,Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,180.2,20,20,,bridge,2,f1_score,0.0,,
q_6149,"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,176.5,20,20,,comparison,2,f1_score,0.0,,
q_4237,"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,134.4,20,20,,bridge,2,f1_score,0.0,,
q_1106,Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,failed,0.1667,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.2184,0.3717,220.7,20,20,,bridge,2,f1_score,0.0,,
q_6953,In which film did Emilio Estevez star in in the same year as Nightmares,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,176.4,20,20,,bridge,2,f1_score,0.0,,
q_2375,What was the concept of the business Eric S .Pistorius worked for after being an attorney?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,136.9,20,20,,bridge,2,f1_score,0.0,,
q_5129,Which port city lies approximately 25 km north of the Lingnan Fine Arts Museum?,failed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.3869,0.3869,0.3869,0.3869,135.2,20,20,,bridge,2,f1_score,0.0,,
q_4491,Has Stefan Edberg won more events than  Édouard Roger-Vasselin?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.6131,0.8503,0.8503,0.8503,177.7,20,20,,comparison,2,f1_score,0.0,,
q_720," Jason Regler, stated that he had the idea for the flashing wristbands during a song built around which instrument ?",failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,178.4,20,20,,bridge,2,f1_score,0.0,,
q_1205, The Soul of Buddha is a 1918 American silent romance film shot in a borough  that is the western terminus of what?,failed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.6,20,20,,bridge,2,f1_score,0.0,,
q_5136,"Which ""Blackzilians"" fighter is currently competing in the Middleweight division of Ultimate Fighting Championship?",failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.6131,0.6131,0.8066,0.8066,223.3,20,20,,bridge,2,f1_score,0.0,,
