query_id,query_text,status,mrr,hit_at_1,hit_at_3,hit_at_5,hit_at_10,hit_at_20,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,ndcg_at_1,ndcg_at_3,ndcg_at_5,ndcg_at_10,ndcg_at_20,retrieval_time_ms,n_retrieved,n_generation_docs,reranked,gen_recall,gen_hit,question_type,n_expected,primary_metric_type,primary_metric_value,sec_exact_match,sec_f1_score,sec_faithfulness,expected_response,generated_response
q_1547,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,237.9,20,5,True,1.0,1.0,bridge,2,f1_score,0.0,0.0,,1.0,flotilla,Vice‑Admiral
q_2054,When did the park at which Tivolis Koncertsal is located open?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,92.5,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,15 August 1843,15 August 1843
q_478,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,81.5,20,5,True,1.0,1.0,comparison,2,accuracy,0.0,0.0,0.0,0.1,Armenian,Armenia
q_3245,The school in which the Wilmslow Show is held is designated as what?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,63.1,20,5,True,1.0,1.0,bridge,2,f1_score,0.0,0.0,,1.0,Centre of Excellence,good
q_1119,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80.9,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,Saoirse Ronan,Saoirse Ronan
q_3575,"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.6131,0.8503,0.8503,0.8503,78.1,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,The Lorax,The Lorax
q_978,"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,97.3,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,Scott Adkins,Scott Adkins
q_1668,Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80.6,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,War & Peace,War & Peace
q_6149,"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,86.7,20,5,True,1.0,1.0,comparison,2,accuracy,1.0,1.0,1.0,1.0,Midnight Oil,Midnight Oil
q_4237,"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,89.1,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,1967,1967
q_1106,Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,85.1,20,5,True,1.0,1.0,bridge,2,f1_score,0.8,0.0,,1.0,Captain John Underhill,John Underhill
q_6953,In which film did Emilio Estevez star in in the same year as Nightmares,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,58.6,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,The Outsiders,The Outsiders
q_2375,What was the concept of the business Eric S .Pistorius worked for after being an attorney?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,69.9,20,5,True,0.5,1.0,bridge,2,f1_score,0.0,0.0,,1.0,to ensure wide visibility and understanding of cases in a region,law firm
q_5129,Which port city lies approximately 25 km north of the Lingnan Fine Arts Museum?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.6131,0.8772,0.8772,0.8772,68.1,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,Keelung,Keelung
q_4491,Has Stefan Edberg won more events than  Édouard Roger-Vasselin?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,82.2,20,5,True,1.0,1.0,comparison,2,accuracy,1.0,1.0,1.0,0.1,yes,yes
q_720," Jason Regler, stated that he had the idea for the flashing wristbands during a song built around which instrument ?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.6131,0.8772,0.8772,0.8772,128.7,20,5,True,1.0,1.0,bridge,2,f1_score,0.6667,0.0,,1.0,an organ,organ
q_1205, The Soul of Buddha is a 1918 American silent romance film shot in a borough  that is the western terminus of what?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71.2,20,5,True,1.0,1.0,bridge,2,f1_score,0.8571,0.0,,1.0,the George Washington Bridge,George Washington Bridge
q_5136,"Which ""Blackzilians"" fighter is currently competing in the Middleweight division of Ultimate Fighting Championship?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,72.3,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,Vitor Belfort,Vitor Belfort
q_4151,"Were was the Mexican state after which there is Villa Unión, Sinaloa located? ",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.9197,0.9197,0.9197,0.9197,83.3,20,5,True,1.0,1.0,bridge,2,f1_score,0.0,0.0,,1.0,tip of the Baja California,Sinaloa
q_4456,"What language, traditionally written with the ancient Libyco-Berber script, is closely related to the Tumzabt and Teggargrent languages?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,101.1,20,5,True,1.0,1.0,bridge,2,f1_score,0.5,0.0,,1.0,The Tugurt language,Tugurt
q_6054,Who is the fictional head of a British Secret Service division and for which a one-time missionary was the inspiration for?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,69.5,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,Q,Q
q_7110,Phillip Pullman's book set in a parallel universe featuring a character named Lyra Belacqua was put into audio in what year?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,92.9,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,2002,2002
q_4166,Who directed the second film in a British series of action comedy film parodying the James Bond secret agent genre with comedy similar to Rowan Atkinson's Mr. Bean character?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,93.3,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,Oliver Parker,Oliver Parker
q_1564,George Gershwin is an American Composer and Judith Weir is a composer from which country?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,69.8,20,5,True,1.0,1.0,comparison,2,accuracy,0.0,0.0,0.5,1.0,a British composer,British
q_6694,What Was the name of Juan Manuel Márquez's  WBO champion holding younger brother?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,103.5,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,Rafael Márquez,Rafael Márquez
q_3802,The Running Man Brothers is a South Korean pop duo. Kim Jong-kook is one member and he is from what country?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,59.4,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,South Korea,South Korea
q_7043,Ruddles Brewery is owned by a pub retailer and brewer based in what city?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.1,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,Bury St Edmunds,Bury St Edmunds
q_4109,The creator of the Lisa Simpson character was born in what year?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,82.9,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,1954,1954
q_4368,Where is the international airport which Eagle Aviation wet lease operations were based in located ,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.6131,0.6131,0.7977,0.7977,96.9,20,5,True,0.5,1.0,bridge,2,f1_score,0.0,0.0,,1.0,France.,Charles de Gaulle Airport
q_150,What occupation was shared by David Yates and Pietro Germi?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,52.1,20,5,True,1.0,1.0,comparison,2,accuracy,1.0,1.0,1.0,0.2,director,director
q_6058,Who sang lead vocals on the Oasis hit single which had an acoustic debut in drummer Tony McCarroll's last concert ? ,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,93.1,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,Noel Gallagher,Noel Gallagher
q_1653,"St. John's College, Belize offers an education in a tradition in which what three subjects were the core?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,131.3,20,5,True,1.0,1.0,bridge,2,f1_score,0.8571,0.0,,1.0,"Grammar, logic, and rhetoric","Grammar, logic, rhetoric"
q_4619,Robert Earl Holding owned an oil company that was originally founded by who?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,81.3,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,Harry F. Sinclair,Harry F. Sinclair
q_2179,"What instrument does Duff McKagan play on Macy Gray's single, Kissed It?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,115.9,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,bass,bass
q_6444,Which American popular music and country music singer recorded J. D. Souther song ,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.9197,0.9197,0.9197,0.9197,69.3,20,5,True,1.0,1.0,bridge,2,f1_score,0.8,0.0,,1.0,Linda Maria Ronstadt,Linda Ronstadt
q_3882,In which six Western European territories have Celtic languages or cultural traits survived?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96.6,20,5,True,1.0,1.0,bridge,2,f1_score,0.9412,0.0,,1.0,"Brittany, Cornwall, Ireland, Isle of Man, Scotland and Wales.","Brittany, Cornwall, Ireland, Isle of Man, Scotland, Wales"
