query_id,query_text,status,mrr,hit_at_1,hit_at_3,hit_at_5,hit_at_10,hit_at_20,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,ndcg_at_1,ndcg_at_3,ndcg_at_5,ndcg_at_10,ndcg_at_20,retrieval_time_ms,n_retrieved,n_generation_docs,reranked,gen_recall,gen_hit,question_type,n_expected,primary_metric_type,primary_metric_value,sec_exact_match,sec_f1_score,sec_faithfulness,graph_candidates,vector_candidates,graph_only_candidates,graph_resolved,query_keywords,expected_response,generated_response
q_1547,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,310.5,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,58,20,52,52,"{""low"": [""Iqbal F. Qadir"", ""Okhamandal Peninsula"", ""radar station""], ""high"": [""military attack"", ""coastal geography""]}",flotilla,flotilla
q_2054,When did the park at which Tivolis Koncertsal is located open?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,260.0,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,60,20,56,56,"{""low"": [""Tivolis Koncertsal"", ""park""], ""high"": [""opening"", ""historical context""]}",15 August 1843,15 August 1843
q_478,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,266.9,20,5,True,1.0,1.0,comparison,2,accuracy,0.0,0.0,0.0,0.2,60,20,56,56,"{""low"": [""Art Laboe"", ""Scout Tufankjian""], ""high"": [""shared ancestry"", ""country of origin""]}",Armenian,Armenia
q_3245,The school in which the Wilmslow Show is held is designated as what?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,211.2,20,5,True,1.0,1.0,bridge,2,f1_score,0.0,0.0,0.0,1.0,60,20,58,58,"{""low"": [""Wilmslow Show""], ""high"": [""designation"", ""identity""]}",Centre of Excellence,good
q_1119,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,270.3,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,58,20,51,51,"{""low"": [""Billy Howle"", ""Dominic Cooke""], ""high"": [""upcoming British drama film"", ""co-star""]}",Saoirse Ronan,Saoirse Ronan
q_3575,"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.6131,0.6131,0.6131,0.7842,267.2,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,58,20,56,56,"{""low"": [""Danny Devito"", ""Kool Kojak""], ""high"": [""animation"", ""music production""]}",The Lorax,The Lorax
q_978,"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,467.7,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,59,20,53,53,"{""low"": [""Luc Deveraux"", ""Universal Soldier franchise"", ""Holby City"", ""Doctor Strange"", ""the Bourne Ultimatum"", ""Zero Dark Thirty""], ""high"": [""film franchise crossover"", ""actor filmography overlap""]}",Scott Adkins,Scott Adkins
q_1668,Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,269.0,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,58,20,55,55,"{""low"": [""Tommy's Honour"", ""BBC""], ""high"": [""drama film"", ""career breakthrough""]}",War & Peace,War & Peace
q_6149,"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,291.8,20,5,True,1.0,1.0,comparison,2,accuracy,1.0,1.0,1.0,1.0,59,20,53,53,"{""low"": [""Switchfoot"", ""Midnight Oil""], ""high"": [""band name origin"", ""rock music trivia""]}",Midnight Oil,Midnight Oil
q_4237,"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,218.3,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,34,20,31,31,"{""low"": [""Tunak""], ""high"": [""bhangra/pop love song"", ""artist birth year""]}",1967,1967
q_1106,Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,271.2,20,5,True,1.0,1.0,bridge,2,f1_score,0.8,0.0,0.0,1.0,58,20,54,54,"{""low"": [""New Netherland"", ""Lenape""], ""high"": [""colonial war"", ""indigenous casualties""]}",Captain John Underhill,John Underhill
q_6953,In which film did Emilio Estevez star in in the same year as Nightmares,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,250.5,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,47,20,44,44,"{""low"": [""Emilio Estevez"", ""Nightmares""], ""high"": [""film"", ""year""]}",The Outsiders,The Outsiders
q_2375,What was the concept of the business Eric S .Pistorius worked for after being an attorney?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,254.4,20,5,True,0.5,1.0,bridge,2,f1_score,0.0,0.0,0.0,0.0,59,20,55,55,"{""low"": [""Eric S. Pistorius"", ""business""], ""high"": [""business concept"", ""career transition""]}",to ensure wide visibility and understanding of cases in a region,N/A
q_5129,Which port city lies approximately 25 km north of the Lingnan Fine Arts Museum?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.6131,0.6131,0.8175,0.8175,210.3,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,34,20,31,31,"{""low"": [""Lingnan Fine Arts Museum""], ""high"": [""geography"", ""cultural institutions""]}",Keelung,Keelung
q_4491,Has Stefan Edberg won more events than  Édouard Roger-Vasselin?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,261.6,20,5,True,1.0,1.0,comparison,2,accuracy,1.0,1.0,1.0,0.2,48,20,37,37,"{""low"": [""Stefan Edberg"", ""Édouard Roger-Vasselin""], ""high"": [""tennis career achievements"", ""event win comparison""]}",yes,yes
q_720," Jason Regler, stated that he had the idea for the flashing wristbands during a song built around which instrument ?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.6131,0.8503,0.8503,0.8503,298.6,20,5,True,1.0,1.0,bridge,2,f1_score,0.6667,0.0,0.0,1.0,59,20,55,55,"{""low"": [""Jason Regler"", ""flashing wristbands""], ""high"": [""creative inspiration"", ""musical composition""]}",an organ,organ
q_1205, The Soul of Buddha is a 1918 American silent romance film shot in a borough  that is the western terminus of what?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,289.4,20,5,True,1.0,1.0,bridge,2,f1_score,0.8571,0.0,0.0,1.0,58,20,55,55,"{""low"": [""The Soul of Buddha"", ""1918"", ""borough""], ""high"": [""American silent romance film"", ""western terminus""]}",the George Washington Bridge,George Washington Bridge
q_5136,"Which ""Blackzilians"" fighter is currently competing in the Middleweight division of Ultimate Fighting Championship?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,305.4,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,57,20,50,50,"{""low"": [""Blackzilians"", ""Middleweight division"", ""Ultimate Fighting Championship""], ""high"": [""fighter"", ""division""]}",Vitor Belfort,Vitor Belfort
q_4151,"Were was the Mexican state after which there is Villa Unión, Sinaloa located? ",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.9197,0.9197,0.9197,0.9197,299.2,20,5,True,1.0,1.0,bridge,2,f1_score,0.0,0.0,0.0,1.0,58,20,53,53,"{""low"": [""Villa Unión"", ""Sinaloa"", ""Mexico""], ""high"": [""geography"", ""administrative division""]}",tip of the Baja California,Sinaloa
q_4456,"What language, traditionally written with the ancient Libyco-Berber script, is closely related to the Tumzabt and Teggargrent languages?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,323.7,20,5,True,1.0,1.0,bridge,2,f1_score,0.8,0.0,0.0,1.0,56,20,49,49,"{""low"": [""Libyco-Berber script"", ""Tumzabt"", ""Teggargrent""], ""high"": [""Berber languages"", ""ancient scripts""]}",The Tugurt language,Tugurt language
q_6054,Who is the fictional head of a British Secret Service division and for which a one-time missionary was the inspiration for?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,248.7,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,59,20,58,58,"{""low"": [""M"", ""missionary""], ""high"": [""fictional leadership"", ""inspiration""]}",Q,Q
q_7110,Phillip Pullman's book set in a parallel universe featuring a character named Lyra Belacqua was put into audio in what year?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,251.7,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,59,20,54,54,"{""low"": [""Phillip Pullman"", ""Lyra Belacqua""], ""high"": [""audio adaptation"", ""publication year""]}",2002,2002
q_4166,Who directed the second film in a British series of action comedy film parodying the James Bond secret agent genre with comedy similar to Rowan Atkinson's Mr. Bean character?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,364.8,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,59,20,51,51,"{""low"": [""second film"", ""James Bond"", ""Rowan Atkinson"", ""Mr. Bean""], ""high"": [""action comedy"", ""James Bond parody""]}",Oliver Parker,Oliver Parker
q_1564,George Gershwin is an American Composer and Judith Weir is a composer from which country?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,331.4,20,5,True,1.0,1.0,comparison,2,accuracy,0.0,0.0,0.5,1.0,55,20,45,45,"{""low"": [""George Gershwin"", ""Judith Weir"", ""American""], ""high"": [""composer"", ""nationality"", ""country""]}",a British composer,British
q_6694,What Was the name of Juan Manuel Márquez's  WBO champion holding younger brother?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,265.9,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,55,20,49,49,"{""low"": [""Juan Manuel Márquez"", ""WBO""], ""high"": [""boxing"", ""family""]}",Rafael Márquez,Rafael Márquez
q_3802,The Running Man Brothers is a South Korean pop duo. Kim Jong-kook is one member and he is from what country?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,304.9,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,0.8,59,20,49,49,"{""low"": [""The Running Man Brothers"", ""Kim Jong-kook"", ""South Korea""], ""high"": [""pop duo"", ""nationality""]}",South Korea,South Korea
q_7043,Ruddles Brewery is owned by a pub retailer and brewer based in what city?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,195.1,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,31,20,25,25,"{""low"": [""Ruddles Brewery""], ""high"": [""ownership"", ""city location""]}",Bury St Edmunds,Bury St Edmunds
q_4109,The creator of the Lisa Simpson character was born in what year?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,259.8,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,60,20,52,52,"{""low"": [""Lisa Simpson"", ""creator""], ""high"": [""character creation"", ""birth year""]}",1954,1954
q_4368,Where is the international airport which Eagle Aviation wet lease operations were based in located ,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.6131,0.6131,0.6131,0.7632,234.1,20,5,True,0.5,1.0,bridge,2,f1_score,0.0,0.0,0.0,1.0,56,20,49,49,"{""low"": [""Eagle Aviation""], ""high"": [""aviation operations"", ""airport location""]}",France.,Charles de Gaulle Airport
q_150,What occupation was shared by David Yates and Pietro Germi?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,190.2,20,5,True,1.0,1.0,comparison,2,accuracy,1.0,1.0,1.0,1.0,53,20,46,46,"{""low"": [""David Yates"", ""Pietro Germi""], ""high"": [""occupation""]}",director,director
q_6058,Who sang lead vocals on the Oasis hit single which had an acoustic debut in drummer Tony McCarroll's last concert ? ,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,269.6,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,59,20,55,55,"{""low"": [""Oasis"", ""Tony McCarroll""], ""high"": [""lead vocals"", ""acoustic debut""]}",Noel Gallagher,Noel Gallagher
q_1653,"St. John's College, Belize offers an education in a tradition in which what three subjects were the core?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,314.5,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,59,20,50,50,"{""low"": [""St. John's College"", ""Belize""], ""high"": [""education tradition"", ""core subjects""]}","Grammar, logic, and rhetoric","grammar, logic, and rhetoric"
q_4619,Robert Earl Holding owned an oil company that was originally founded by who?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,253.1,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,34,20,28,28,"{""low"": [""Robert Earl Holding""], ""high"": [""corporate ownership"", ""oil industry"", ""company founding""]}",Harry F. Sinclair,Harry F. Sinclair
q_2179,"What instrument does Duff McKagan play on Macy Gray's single, Kissed It?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,338.4,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,60,20,55,55,"{""low"": [""Duff McKagan"", ""Macy Gray"", ""Kissed It""], ""high"": [""music"", ""instrument""]}",bass,bass
