query_id,query_text,status,mrr,hit_at_1,hit_at_3,hit_at_5,hit_at_10,hit_at_20,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,ndcg_at_1,ndcg_at_3,ndcg_at_5,ndcg_at_10,ndcg_at_20,retrieval_time_ms,n_retrieved,n_generation_docs,reranked,gen_recall,gen_hit,question_type,n_expected,primary_metric_type,primary_metric_value,sec_exact_match,sec_f1_score,sec_faithfulness,graph_candidates,vector_candidates,graph_only_candidates,graph_resolved,query_keywords,expected_response,generated_response
q_1547,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,251.5,20,5,True,1.0,1.0,bridge,2,f1_score,0.6667,0.0,0.0,1.0,,,,,"{""low"": [], ""high"": []}",flotilla,a flotilla
q_2054,When did the park at which Tivolis Koncertsal is located open?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,74.8,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,,,,,"{""low"": [], ""high"": []}",15 August 1843,15 August 1843
q_478,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,63.4,20,5,True,1.0,1.0,comparison,2,accuracy,0.0,0.0,0.0,0.2,,,,,"{""low"": [], ""high"": []}",Armenian,Armenia
q_3245,The school in which the Wilmslow Show is held is designated as what?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,57.3,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,,,,,"{""low"": [], ""high"": []}",Centre of Excellence,Centre of Excellence
q_1119,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,59.4,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,,,,,"{""low"": [], ""high"": []}",Saoirse Ronan,Saoirse Ronan
q_3575,"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,78.3,20,5,True,0.5,1.0,bridge,2,f1_score,0.0,0.0,0.0,1.0,,,,,"{""low"": [], ""high"": []}",The Lorax,Curmudgeons
q_978,"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark",completed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.6934,0.6934,0.6934,0.6934,84.6,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,,,,,"{""low"": [], ""high"": []}",Scott Adkins,Scott Adkins
q_1668,Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,93.8,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,,,,,"{""low"": [], ""high"": []}",War & Peace,War & Peace
q_6149,"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,69.7,20,5,True,1.0,1.0,comparison,2,accuracy,1.0,1.0,1.0,1.0,,,,,"{""low"": [], ""high"": []}",Midnight Oil,Midnight Oil
q_4237,"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,109.1,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,,,,,"{""low"": [], ""high"": []}",1967,1967
