query_id,query_text,status,mrr,hit_at_1,hit_at_3,hit_at_5,hit_at_10,hit_at_20,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,ndcg_at_1,ndcg_at_3,ndcg_at_5,ndcg_at_10,ndcg_at_20,retrieval_time_ms,n_retrieved,n_generation_docs,reranked,gen_recall,gen_hit,question_type,n_expected,primary_metric_type,primary_metric_value,sec_exact_match,sec_f1_score,sec_faithfulness,expected_response,generated_response
q_1547,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,189.1,20,5,True,1.0,1.0,bridge,2,f1_score,0.0,0.0,0.0,1.0,flotilla,Vice-Admiral
q_2054,When did the park at which Tivolis Koncertsal is located open?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,69.3,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,15 August 1843,15 August 1843
q_478,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,108.1,20,5,True,1.0,1.0,comparison,2,accuracy,0.0,0.0,0.0,0.0,Armenian,Armenia
q_3245,The school in which the Wilmslow Show is held is designated as what?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,73.3,20,5,True,1.0,1.0,bridge,2,f1_score,0.0,0.0,0.0,1.0,Centre of Excellence,good
q_1119,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,67.5,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,Saoirse Ronan,Saoirse Ronan
q_3575,"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.6131,0.6131,0.6131,0.7842,87.0,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,The Lorax,The Lorax
q_978,"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,126.5,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,Scott Adkins,Scott Adkins
q_1668,Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,261.2,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,War & Peace,War & Peace
q_6149,"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,79.3,20,5,True,1.0,1.0,comparison,2,accuracy,1.0,1.0,1.0,1.0,Midnight Oil,Midnight Oil
q_4237,"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,92.6,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,1967,1967
q_1106,Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,81.6,20,5,True,1.0,1.0,bridge,2,f1_score,0.8,0.0,0.0,1.0,Captain John Underhill,John Underhill
q_6953,In which film did Emilio Estevez star in in the same year as Nightmares,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,65.4,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,The Outsiders,The Outsiders
q_2375,What was the concept of the business Eric S .Pistorius worked for after being an attorney?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,70.4,20,5,True,0.5,1.0,bridge,2,f1_score,0.0,0.0,0.0,1.0,to ensure wide visibility and understanding of cases in a region,law firm
q_5129,Which port city lies approximately 25 km north of the Lingnan Fine Arts Museum?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.6131,0.6131,0.8175,0.8175,69.1,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,Keelung,Keelung
q_4491,Has Stefan Edberg won more events than  Édouard Roger-Vasselin?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,82.2,20,5,True,1.0,1.0,comparison,2,accuracy,1.0,1.0,1.0,0.2,yes,yes
q_720," Jason Regler, stated that he had the idea for the flashing wristbands during a song built around which instrument ?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.9197,0.9197,0.9197,0.9197,96.2,20,5,True,1.0,1.0,bridge,2,f1_score,0.6667,0.0,0.0,1.0,an organ,organ
q_1205, The Soul of Buddha is a 1918 American silent romance film shot in a borough  that is the western terminus of what?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,74.3,20,5,True,1.0,1.0,bridge,2,f1_score,0.8571,0.0,0.0,1.0,the George Washington Bridge,George Washington Bridge
