query_id,query_text,status,mrr,hit_at_1,hit_at_3,hit_at_5,hit_at_10,hit_at_20,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,ndcg_at_1,ndcg_at_3,ndcg_at_5,ndcg_at_10,ndcg_at_20,retrieval_time_ms,n_retrieved,n_generation_docs,reranked,gen_recall,gen_hit,question_type,n_expected,primary_metric_type,primary_metric_value,sec_exact_match,sec_f1_score,sec_faithfulness,lightrag_mode,kg_fallback,kg_entities_count,kg_relations_count,kg_chunk_keyword_matches,kg_synthesis_used,kg_synthesis_error,expected_response,generated_response
q_1547,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.6131,0.6131,0.6131,0.7575,255.5,20,10,,0.5,1.0,bridge,2,f1_score,0.0,0.0,,1.0,hybrid,,30,30,37,true,,flotilla,admiral
q_2054,When did the park at which Tivolis Koncertsal is located open?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.6131,0.8503,0.8503,0.8503,215.8,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,hybrid,,20,30,28,true,,15 August 1843,15 August 1843
q_478,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,217.5,20,10,,0.5,1.0,comparison,2,accuracy,0.0,0.0,0.0,0.2,hybrid,,20,30,27,true,,Armenian,none
q_3245,The school in which the Wilmslow Show is held is designated as what?,completed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.3869,0.3869,0.3869,0.3869,214.8,20,10,,0.5,1.0,bridge,2,f1_score,1.0,1.0,,1.0,hybrid,,20,30,28,true,,Centre of Excellence,Centre of Excellence
q_1119,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,214.6,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,hybrid,,20,30,38,true,,Saoirse Ronan,Saoirse Ronan
q_3575,"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",completed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,1.0,0.0,0.3869,0.3869,0.3869,0.5369,213.5,20,10,,0.5,1.0,bridge,2,f1_score,1.0,1.0,,1.0,hybrid,,20,30,39,false,timeout,The Lorax,The Lorax
q_978,"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.6131,0.6131,0.7904,0.7904,354.8,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,hybrid,,30,30,37,false,timeout,Scott Adkins,Scott Adkins
q_1668,Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.6131,0.8772,0.8772,0.8772,214.2,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,hybrid,,20,30,36,true,,War & Peace,War & Peace
q_6149,"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,213.5,20,10,,1.0,1.0,comparison,2,accuracy,1.0,1.0,1.0,1.0,hybrid,,18,30,35,true,,Midnight Oil,Midnight Oil
q_4237,"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,178.5,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,hybrid,,10,30,31,true,,1967,1967
q_1106,Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.9197,0.9197,0.9197,0.9197,281.9,20,10,,1.0,1.0,bridge,2,f1_score,0.0,0.0,,0.0,hybrid,,29,30,41,true,,Captain John Underhill,unknown
q_6953,In which film did Emilio Estevez star in in the same year as Nightmares,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.6131,0.8503,0.8503,0.8503,211.3,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,hybrid,,20,30,36,true,,The Outsiders,The Outsiders
q_2375,What was the concept of the business Eric S .Pistorius worked for after being an attorney?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,218.0,20,10,,0.5,1.0,bridge,2,f1_score,0.0,0.0,,1.0,hybrid,,20,30,31,true,,to ensure wide visibility and understanding of cases in a region,law firm
q_5129,Which port city lies approximately 25 km north of the Lingnan Fine Arts Museum?,completed,0.3333,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,1.0,1.0,0.0,0.3066,0.3066,0.511,0.511,181.0,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,hybrid,,10,30,35,true,,Keelung,Keelung
q_4491,Has Stefan Edberg won more events than  Édouard Roger-Vasselin?,completed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.3869,0.6509,0.6509,0.6509,215.3,20,10,,1.0,1.0,comparison,2,accuracy,1.0,1.0,1.0,0.1,hybrid,,16,30,35,true,,yes,yes
q_720," Jason Regler, stated that he had the idea for the flashing wristbands during a song built around which instrument ?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.6131,0.6131,0.8066,0.8066,213.3,20,10,,1.0,1.0,bridge,2,f1_score,0.6667,0.0,,1.0,hybrid,,20,30,30,true,,an organ,organ
q_1205, The Soul of Buddha is a 1918 American silent romance film shot in a borough  that is the western terminus of what?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,179.9,20,10,,0.5,1.0,bridge,2,f1_score,0.8571,0.0,,0.0,hybrid,,10,30,38,true,,the George Washington Bridge,George Washington Bridge
q_5136,"Which ""Blackzilians"" fighter is currently competing in the Middleweight division of Ultimate Fighting Championship?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.6131,0.6131,0.7977,0.7977,251.1,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,hybrid,,28,30,35,true,,Vitor Belfort,Vitor Belfort
q_4151,"Were was the Mexican state after which there is Villa Unión, Sinaloa located? ",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,250.0,20,10,,0.5,1.0,bridge,2,f1_score,0.0,0.0,,1.0,hybrid,,22,30,33,true,,tip of the Baja California,Sinaloa
q_4456,"What language, traditionally written with the ancient Libyco-Berber script, is closely related to the Tumzabt and Teggargrent languages?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.9197,0.9197,0.9197,0.9197,250.3,20,10,,1.0,1.0,bridge,2,f1_score,0.0,0.0,,1.0,hybrid,,24,30,28,false,timeout,The Tugurt language,Berber
q_6054,Who is the fictional head of a British Secret Service division and for which a one-time missionary was the inspiration for?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.6131,0.6131,0.8316,0.8316,213.7,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,hybrid,,20,30,31,true,,Q,Q
q_7110,Phillip Pullman's book set in a parallel universe featuring a character named Lyra Belacqua was put into audio in what year?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.6131,0.8772,0.8772,0.8772,215.6,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,hybrid,,16,30,33,true,,2002,2002
q_4166,Who directed the second film in a British series of action comedy film parodying the James Bond secret agent genre with comedy similar to Rowan Atkinson's Mr. Bean character?,completed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.6934,0.6934,0.6934,0.6934,353.5,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,hybrid,,30,30,48,false,timeout,Oliver Parker,Oliver Parker
